/opt/volatility3/vol.py -f ./memory_dump.vmem windows.pstree
PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path

4	0	System	0xc40aa0e85280	103	-	N/A	False	2023-10-31 13:30:55.000000 	N/A	-	-	-
* 88	4	Registry	0xc40aa0ee7080	4	-	N/A	False	2023-10-31 13:30:50.000000 	N/A	Registry	-	-
* 280	4	smss.exe	0xc40aa1cb12c0	2	-	N/A	False	2023-10-31 13:30:55.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\smss.exe	\SystemRoot\System32\smss.exe	\SystemRoot\System32\smss.exe
* 1804	4	MemCompression	0xc40aa55a2080	122	-	N/A	False	2023-10-31 13:30:57.000000 	N/A	MemCompression	-	-
392	384	csrss.exe	0xc40aa1c32140	11	-	0	False	2023-10-31 13:30:56.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\csrss.exe	%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16	C:\Windows\system32\csrss.exe
472	384	wininit.exe	0xc40aa484e080	1	-	0	False	2023-10-31 13:30:56.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\wininit.exe	wininit.exe	C:\Windows\system32\wininit.exe
* 636	472	lsass.exe	0xc40aa49cd0c0	8	-	0	False	2023-10-31 13:30:56.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\lsass.exe	C:\Windows\system32\lsass.exe	C:\Windows\system32\lsass.exe
* 776	472	fontdrvhost.ex	0xc40aa50a2180	5	-	0	False	2023-10-31 13:30:57.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\fontdrvhost.exe	"fontdrvhost.exe"	C:\Windows\system32\fontdrvhost.exe
* 620	472	services.exe	0xc40aa49a90c0	8	-	0	False	2023-10-31 13:30:56.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\services.exe	C:\Windows\system32\services.exe	C:\Windows\system32\services.exe
** 2052	620	svchost.exe	0xc40aa5763300	10	-	0	False	2023-10-31 13:30:58.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\Windows\System32\svchost.exe -k LocalService -p -s netprofm	C:\Windows\System32\svchost.exe
** 4100	620	svchost.exe	0xc40aa694d080	1	-	0	False	2023-10-31 13:32:21.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k netsvcs -p -s Appinfo	C:\Windows\system32\svchost.exe
** 1032	620	svchost.exe	0xc40aa539f080	7	-	0	False	2023-10-31 13:30:57.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s bthserv	C:\Windows\system32\svchost.exe
** 4104	620	svchost.exe	0xc40aa630c2c0	8	-	0	False	2023-10-31 13:31:03.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s PcaSvc	C:\Windows\system32\svchost.exe
** 1548	620	svchost.exe	0xc40aa552c340	5	-	0	False	2023-10-31 13:30:57.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp	C:\Windows\system32\svchost.exe
** 1040	620	svchost.exe	0xc40aa53a0080	2	-	0	False	2023-10-31 13:30:57.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\svchost.exe	C:\Windows\system32\svchost.exe -k LocalService -p -s BthAvctpSvc	C:\Windows\system32\svchost.exe
** 5156	620	SearchIndexer.	0xc40aa65b90c0	18	-	0	False	2023-10-31 13:31:05.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\SearchIndexer.exe	C:\Windows\system32\SearchIndexer.exe /Embedding	C:\Windows\system32\SearchIndexer.exe
*** 7192	5156	SearchProtocol	0xc40aa70cc080	9	-	0	False	2023-10-31 13:31:13.000000 	N/A	\Device\HarddiskVolume4\Windows\System32\SearchProtocolHost.exe	"C:\Windows\system32\SearchProtocolHost.exe" Global\UsGthrFltPipeMssGthrPipe1_ Global\UsGthrCtrlFltPipeMssGthrPipe1 1 -2147483646 "Software\Microsoft\Windows Search" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)" "C:\ProgramData\Microsoft\Search\Data\Temp\usgthrsvc" "DownLevelDaemon" 	C:\Windows\system32\SearchProtocolHost.exe
